Parameter,Er3+:YAG (No CCF),Er3+:YAG (CCF),Er3+:YAG (No CCF),Er3+:YAG (CCF),Er3+:YAG (No CCF),Er3+:YAG (CCF),Er3+:YAG (No CCF) - comments,Er3+:YAG (CCF) - comments,Er3+:YAG (No CCF) - comments,Er3+:YAG (CCF) - comments,Er3+:YAG (No CCF) - comments,Er3+:YAG (CCF) - comments
Eav,35660,35656,35681,35672,35680,35684,,,,,,
F^2,99394,99333,99522,99394,99443,99450,,,,,,
F^4,70394,70581,71417,71415,70775,70774,,,,,,
F^6,48908,49207,50232,50288,49508,49397,,,,,,
α,17.4,17.6,17.7,17.9,18.8,19.2,,,,,,
β,-605,-612,-625,-632,-646,-645,,,,,,
γ,1780,1698,1421,1416,1691,1708,,,,,,
T^2,640,599,554,515,546,546,,,,,This parameter value was held fixed in the final calculation,This parameter value was held fixed in the final calculation
T^3,40.3,37.6,40.1,37.3,40.4,38.9,,,,,,
T^4,73.5,69.4,83.7,80.5,88,88,,,,,This parameter value was held fixed in the final calculation,This parameter value was held fixed in the final calculation
T^6,-369,-362,-361,-366,-349,-347,,,,,,
T^7,330,323,280,271,359,367,,,,,,
T^8,564,505,584,551,415,349,,,,,,
ζ,2368.9,2368.4,2370,2368.8,2365.5,2363.6,,,,,,
M^0,3.6,3.6,3.6,3.5,3.7,3.6,,,,,,
P^2,501,478,517,477,458,418,,,,,,
B_0^2,-455,-446,-412,-435,-434,-502,,,,,,
B_2^2,-319,-310,-383,-365,-135,-118,,,,,,
B_0^4,-155,-224,-193,-272,-225,-108,,,,,,
B_2^4,-1797,-1794,-1725,-1742,-1716,-1680,,,,,,
B_4^4,-581,-507,-954,-880,-954,-878,,,,,,
B_0^6,1501,1487,1506,1440,1185,1026,,,,,,
B_2^6,327,361,276,394,326,417,,,,,,
B_4^6,-618,-634,-466,-494,-560,-541,,,,,,
B_6^6,569,514,506,453,501,666,,,,,,
"G_{10,A}^4",,85.8,,81.3,,23.9,,"The G_{10,A}^4 parameter corresponds to the CCF parameter G_{10,A,0}^4. Values for G_{10,A,2}^4 and G_{10,A,4}^4 CCF parameters may be obtained from the relations expressed in Eq (6) of the text.",,"The G_{10,A}^4 parameter corresponds to the CCF parameter G_{10,A,0}^4. Values for G_{10,A,2}^4 and G_{10,A,4}^4 CCF parameters may be obtained from the relations expressed in Eq (6) of the text.",,"The G_{10,A}^4 parameter corresponds to the CCF parameter G_{10,A,0}^4. Values for G_{10,A,2}^4 and G_{10,A,4}^4 CCF parameters may be obtained from the relations expressed in Eq (6) of the text."
σ,16.4,13.2,15.74,13.59,13.54,11.95,,,,,,
N,117,117,109,109,92,92,,,,,,
